,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,North Bend,1,US,1584037641,61,43.41,-124.22,48.99199999999996,4.1
1,Hambantota,51,LK,1584037896,100,6.12,81.12,76.99999999999994,1.5
2,Mīzan Teferī,59,ET,1584037897,70,6.98,35.58,69.62000000000006,1.76
3,Khovd,0,MN,1584037874,43,48.01,91.64,12.020000000000039,0.85
4,Mgandu,84,TZ,1584037900,96,-5.95,34.13,65.12000000000006,1.77
5,Hobart,60,AU,1584037802,40,-42.88,147.33,71.59999999999997,7.7
6,Yangi Marg`ilon,0,UZ,1584037903,61,40.43,71.72,48.19999999999993,2.1
7,Castro,19,BR,1584037905,48,-24.79,-50.01,79.88000000000005,2.85
8,Rikitea,17,PF,1584037906,80,-23.12,-134.97,76.99999999999994,9.03
9,Ushuaia,40,AR,1584037628,67,-54.8,-68.3,58.99999999999994,1.5
10,Ancud,90,CL,1584037870,100,-41.87,-73.82,60.80000000000001,6.2
11,Joensuu,90,FI,1584037757,98,62.6,29.76,35.00599999999997,2.1
12,Port Alfred,70,ZA,1584037911,93,-33.59,26.89,71.99600000000004,0.45
13,Nome,90,US,1584037639,79,64.5,-165.41,24.99799999999999,8.2
14,Necochea,28,AR,1584037728,68,-38.55,-58.74,96.00799999999998,3.58
15,Butaritari,89,KI,1584037724,79,3.07,172.79,81.49999999999994,3.7
16,Busselton,86,AU,1584037712,41,-33.65,115.33,64.99400000000009,7.65
17,Van,40,TR,1584037919,81,38.49,43.38,42.799999999999955,2.42
18,Camacha,40,PT,1584037920,68,33.08,-16.33,66.19999999999999,5.1
19,Quatre Cocos,75,MU,1584037921,94,-20.21,57.76,78.99799999999999,3.1
20,Barrow,90,US,1584037801,69,71.29,-156.79,-9.399999999999977,7.2
21,Canillo,100,AD,1584037923,76,42.58,1.67,60.99799999999999,2.24
22,Longyearbyen,75,SJ,1584037717,63,78.22,15.64,-7.600000000000023,4.1
23,Talnakh,7,RU,1584037890,69,69.49,88.4,-11.199999999999989,5.0
24,Albany,75,US,1584037628,34,42.6,-73.97,51.99799999999999,5.1
25,Soyo,75,AO,1584037928,70,-6.13,12.37,87.80000000000001,3.1
26,Verāval,0,IN,1584037929,71,20.9,70.37,65.12000000000006,4.16
27,Punta Arenas,95,CL,1584037931,76,-53.15,-70.92,60.80000000000001,3.6
28,Mataura,3,NZ,1584037662,92,-46.19,168.86,48.00200000000001,0.45
29,Port Elizabeth,75,ZA,1584037804,88,-33.92,25.57,67.99999999999994,8.2
30,Kungurtug,47,RU,1584037934,79,50.6,97.52,-1.4799999999999613,2.19
31,Upernavik,100,GL,1584037935,89,72.79,-56.15,-16.24000000000001,2.19
32,Menongue,97,AO,1584037936,89,-14.66,17.69,67.4600000000001,1.07
33,Chui,47,UY,1584037938,44,-33.7,-53.46,90.49999999999994,3.62
34,East London,20,ZA,1584037939,94,-33.02,27.91,71.59999999999997,4.1
35,Paamiut,11,GL,1584037919,82,61.99,-49.67,15.079999999999984,3.28
36,Kaitangata,0,NZ,1584037941,84,-46.28,169.85,50.89999999999998,3.3
37,Arraial do Cabo,75,BR,1584037784,69,-22.97,-42.03,82.39999999999992,6.7
38,Fairbanks,40,US,1584037871,75,64.84,-147.72,-2.9920000000000186,1.5
39,Cam Ranh,20,VN,1584037944,83,11.92,109.16,76.99999999999994,0.5
40,Yellowknife,90,CA,1584037722,69,62.46,-114.35,-9.004000000000019,4.1
41,Nhulunbuy,100,AU,1584037947,88,-12.23,136.77,80.59999999999997,3.1
42,Coahuayana Viejo,75,MX,1584037948,74,18.73,-103.68,80.59999999999997,3.4
43,Puerto Ayora,20,EC,1584037869,74,-0.74,-90.35,84.19999999999999,5.1
44,Provideniya,100,RU,1584037890,97,64.38,-173.3,27.319999999999993,11.87
45,Thompson,90,CA,1584037801,72,55.74,-97.86,10.399999999999977,5.7
46,Leningradskiy,100,RU,1584037745,81,69.38,178.42,12.199999999999932,5.91
47,Yar-Sale,100,RU,1584037775,98,66.83,70.83,30.379999999999995,7.53
48,Moose Factory,1,CA,1584037958,64,51.26,-80.61,33.799999999999955,4.6
49,Bluff,87,NZ,1584037628,92,-46.6,168.33,48.00200000000001,0.45
50,Faanui,100,PF,1584037960,71,-16.48,-151.75,83.47999999999996,6.82
51,Padre Bernardo,66,BR,1584037961,68,-15.35,-48.5,84.02000000000004,0.52
52,Narsaq,20,GL,1584037964,46,60.92,-46.05,28.399999999999977,2.1
53,Vaini,75,TO,1584037879,100,-21.2,-175.2,76.99999999999994,2.1
54,Mankono,27,CI,1584037967,23,8.06,-6.19,95.18,2.3
55,Raja,72,SS,1584037968,37,8.46,25.68,82.57999999999998,2.06
56,Conceição do Araguaia,97,BR,1584037969,60,-8.26,-49.26,86.36000000000007,1.58
57,Port Hardy,90,CA,1584037971,80,50.7,-127.42,39.19999999999993,3.1
58,Ngunguru,3,NZ,1584037929,87,-35.62,174.5,58.99999999999994,3.13
59,Qaanaaq,0,GL,1584037973,47,77.48,-69.36,-17.319999999999993,2.57
60,New Norfolk,90,AU,1584037974,40,-42.78,147.06,71.59999999999997,7.7
61,Ola,100,RU,1584037975,80,59.58,151.28,-1.3000000000000114,3.8
62,Victor Harbor,52,AU,1584037976,88,-35.57,138.62,71.00600000000003,0.5
63,Severo-Yeniseyskiy,100,RU,1584037977,96,60.37,93.04,26.960000000000036,3.56
64,Vestmannaeyjar,90,IS,1584037979,100,63.44,-20.27,33.799999999999955,13.4
65,Pontes e Lacerda,100,BR,1584037980,54,-15.23,-59.34,91.39999999999992,0.69
66,Atuona,2,PF,1584037898,74,-9.8,-139.03,81.86000000000007,5.32
